Day of Created At,Id,Type,Teams Count
"11 February, 2017",442,student,0
"11 February, 2017",443,student,0
"11 February, 2017",444,student,0
"11 February, 2017",445,student,0
"11 February, 2017",446,student,0
"11 February, 2017",447,student,0
"11 February, 2017",448,student,0
"11 February, 2017",449,student,0
"11 February, 2017",450,student,0
"11 February, 2017",451,student,0
"11 February, 2017",452,student,0
"11 February, 2017",453,student,0
"11 February, 2017",454,student,0
"11 February, 2017",455,student,0
"11 February, 2017",456,student,0
"11 February, 2017",457,student,0
"11 February, 2017",458,student,0
"11 February, 2017",459,student,0
"11 February, 2017",460,student,0
"11 February, 2017",461,student,0
"11 February, 2017",462,student,0
"11 February, 2017",463,student,0
"11 February, 2017",464,student,0
"11 February, 2017",466,student,0
"11 February, 2017",467,student,0
"11 February, 2017",468,student,0
"11 February, 2017",469,student,0
"11 February, 2017",470,student,0
"11 February, 2017",471,student,0
"11 February, 2017",472,student,0
"11 February, 2017",473,student,0
"11 February, 2017",474,student,6
"11 February, 2017",475,student,0
"11 February, 2017",476,student,0
"11 February, 2017",477,student,0
"11 February, 2017",478,student,0
"11 February, 2017",479,student,0
"11 February, 2017",480,student,0
"11 February, 2017",481,student,0
"11 February, 2017",482,student,0
"11 February, 2017",483,student,0
"11 February, 2017",484,student,0
"11 February, 2017",485,student,0
"11 February, 2017",486,student,0
"11 February, 2017",487,student,0
"11 February, 2017",488,student,0
"11 February, 2017",489,student,0
"11 February, 2017",490,student,0
"11 February, 2017",491,student,0
"11 February, 2017",492,student,1
"11 February, 2017",493,student,0
"11 February, 2017",494,student,0
"11 February, 2017",495,student,0
"11 February, 2017",496,student,0
"11 February, 2017",497,student,1
"11 February, 2017",499,student,0
"11 February, 2017",500,student,0
"11 February, 2017",501,student,0
"11 February, 2017",502,student,0
"11 February, 2017",503,student,4
"11 February, 2017",504,student,0
"11 February, 2017",505,student,0
"11 February, 2017",506,student,0
"11 February, 2017",507,student,0
"11 February, 2017",508,student,0
"11 February, 2017",509,student,0
"11 February, 2017",510,student,0
"11 February, 2017",511,student,0
"11 February, 2017",512,student,0
"11 February, 2017",513,student,1
"11 February, 2017",514,student,0
"11 February, 2017",515,student,0
"11 February, 2017",516,student,0
"11 February, 2017",517,student,0
"11 February, 2017",518,student,0
"11 February, 2017",519,student,0
"11 February, 2017",520,student,0
"11 February, 2017",521,student,0
"11 February, 2017",522,student,0
"11 February, 2017",523,student,0
"11 February, 2017",524,student,0
"11 February, 2017",525,student,0
"11 February, 2017",526,student,0
"11 February, 2017",527,student,0
"11 February, 2017",528,student,0
"11 February, 2017",529,student,0
"11 February, 2017",530,student,0
"11 February, 2017",531,student,0
"11 February, 2017",532,student,0
"11 February, 2017",533,student,5
"11 February, 2017",534,student,0
"11 February, 2017",535,student,0
"11 February, 2017",536,student,0
"11 February, 2017",537,student,0
"11 February, 2017",538,student,0
"11 February, 2017",539,student,1
"11 February, 2017",540,student,0
"11 February, 2017",541,student,0
"11 February, 2017",542,student,0
"11 February, 2017",543,student,2
"11 February, 2017",544,student,0
"11 February, 2017",545,student,0
"11 February, 2017",546,student,0
"11 February, 2017",547,student,0
"11 February, 2017",548,student,0
"11 February, 2017",549,student,0
"11 February, 2017",550,student,0
"11 February, 2017",551,student,0
"11 February, 2017",552,student,0
"11 February, 2017",553,student,0
"11 February, 2017",554,student,1
"11 February, 2017",555,student,0
"11 February, 2017",556,student,0
"11 February, 2017",557,student,0
"11 February, 2017",558,student,0
"11 February, 2017",559,student,0
"11 February, 2017",560,student,1
"11 February, 2017",561,student,0
"11 February, 2017",562,student,0
"11 February, 2017",563,student,0
"11 February, 2017",564,student,0
"11 February, 2017",565,student,0
"11 February, 2017",673,student,0
"11 February, 2017",674,student,0
"11 February, 2017",676,student,0
"11 February, 2017",677,student,0
"11 February, 2017",678,student,0
"11 February, 2017",679,student,0
"11 February, 2017",681,student,0
"11 February, 2017",684,student,0
"11 February, 2017",685,student,0
"11 February, 2017",686,student,0
"11 February, 2017",688,student,0
"11 February, 2017",689,student,0
